datetime,open,high,low,close,volume
2021-12-30 00:00:00,3628.49,3668.3,3580.0,3648.34,189688.519
2021-12-30 02:00:00,3648.07,3662.38,3622.9,3647.7,68282.238
2021-12-30 04:00:00,3647.69,3679.86,3645.72,3672.17,56456.653
2021-12-30 06:00:00,3672.17,3717.36,3664.89,3706.4,93412.924
2021-12-30 08:00:00,3706.4,3723.87,3679.42,3683.24,68502.383
2021-12-30 10:00:00,3683.24,3745.0,3676.82,3736.06,86750.756
2021-12-30 12:00:00,3736.07,3748.64,3715.0,3716.22,82830.34
2021-12-30 14:00:00,3716.23,3726.99,3700.0,3707.41,74475.999
2021-12-30 16:00:00,3707.44,3762.0,3703.59,3739.88,85452.53
2021-12-30 18:00:00,3739.87,3766.71,3726.95,3749.2,60044.133
2021-12-30 20:00:00,3749.21,3757.21,3706.21,3735.96,77091.761
2021-12-30 22:00:00,3735.96,3736.62,3680.0,3708.37,80882.482
2021-12-31 00:00:00,3708.45,3740.66,3683.22,3725.17,100267.422
2021-12-31 02:00:00,3725.17,3746.56,3702.82,3740.13,65136.277
2021-12-31 04:00:00,3740.14,3759.09,3733.49,3738.0,70879.525
2021-12-31 06:00:00,3738.0,3747.16,3685.0,3718.41,125396.811
2021-12-31 08:00:00,3718.4,3814.95,3711.06,3794.28,235926.488
2021-12-31 10:00:00,3794.28,3803.49,3766.07,3778.65,104118.904
2021-12-31 12:00:00,3778.65,3799.53,3774.03,3790.46,66570.632
2021-12-31 14:00:00,3790.46,3811.8,3771.46,3782.8,94661.756
2021-12-31 16:00:00,3782.8,3787.73,3705.01,3720.85,143048.873
2021-12-31 18:00:00,3720.84,3723.48,3621.67,3625.33,160236.989
2021-12-31 20:00:00,3625.77,3699.06,3621.32,3686.61,120394.134
2021-12-31 22:00:00,3686.61,3712.56,3671.81,3676.02,57302.363
2022-01-01 00:00:00,3676.01,3747.78,3676.01,3723.71,85055.026
2022-01-01 02:00:00,3723.72,3735.42,3720.56,3722.07,31216.761
2022-01-01 04:00:00,3722.07,3764.03,3702.33,3735.39,83349.178
2022-01-01 06:00:00,3735.39,3742.43,3701.16,3714.77,58305.342
2022-01-01 08:00:00,3714.77,3733.33,3707.51,3717.47,53378.473
2022-01-01 10:00:00,3717.46,3731.7,3671.86,3692.08,97405.206
2022-01-01 12:00:00,3692.09,3724.26,3692.08,3708.68,48122.973
2022-01-01 14:00:00,3708.66,3744.99,3690.78,3723.98,78679.605
2022-01-01 16:00:00,3723.98,3762.8,3716.43,3758.81,76537.607
2022-01-01 18:00:00,3758.77,3765.0,3732.99,3745.22,44912.052
2022-01-01 20:00:00,3745.22,3776.33,3738.0,3746.76,52730.48
